area,square_ft,price,bedrooms,pricepersq_ft,status,bathrooms,age_of_property
Royapettai,1365,15700000,3,11501,semifurnished,2,3
Royapettai,3135,59800000,3,19074,unfurnished,5,1
Royapettai,5000,45000000,10,9000,semifurnished,12,3
Royapettai,1050,11000000,3,10476,unfurnished,3,12
Royapettai,1080,11000000,3,10185,semifurnished,2,12
Royapettai,900,12000000,2,13333,semifurnished,2,2
Royapettai,2336,37500000,3,16053,unfurnished,3,6
Royapettai,1800,25000000,3,13888,unfurnished,3,13
Royapettai,370,2500000,1,6756,semifurnished,1,11
Royapettai,3139,67400000,4,21500,unfurnished,4,1
Royapettai,1200,16000000,3,13333,semifurnished,3,14
Royapettai,650,5850000,2,9000,semifurnished,2,5
Royapettai,400,4200000,1,10500,furnished,1,5
Royapettai,6200,13020000,5,21000,unfurnished,5,0
Royapettai,1200,13000000,2,10833,semifurnished,2,1
Royapettai,620,8900000,1,14516,unfurnished,1,0
Royapettai,720,7200000,2,10000,semifurnished,2,9
Royapettai,780,6900000,2,8974,semifurnished,2,1
Royapettai,1341,21400000,3,16000,unfurnished,2,1
Egmore,1977,27700000,3,14162,furnished,3,6
Egmore,630,3035000,2,4817,unfurnished,1,0
Guduvancheri,2625,27500000,5,10476,semifurnished,5,1
Egmore,3240,45300000,4,14000,unfurnished,5,2
Egmore,1540,21500000,3,14000,unfurnished,3,1
Egmore,1600,17900000,3,11187,semifurnished,3,8
Egmore,1350,19800000,3,14666,unfurnished,3,1
Egmore,1040,8500000,2,8173,semifurnished,2,3
Egmore,1704,24000000,3,14084,furnished,3,6
Egmore,1700,23500000,3,13823,furnished,3,5
Egmore,1525,21100000,3,13900,unfurnished,4,2
Egmore,1704,41700000,3,24486,unfurnished,3,1
Egmore,2625,28800000,5,11000,furnished,5,8
Egmore,2430,40000000,3,16460,unfurnished,3,5
Egmore,2150,29000000,3,13500,unfurnished,3,4
Egmore,1657,41500000,3,25045,unfurnished,3,6
Egmore,1526,24400000,3,16000,unfurnished,3,1
Egmore,3330,44900000,4,13500,unfurnished,4,3
Egmore,2655,39800000,4,15000,unfurnished,4,6
Egmore,4150,55000000,5,13253,furnished,8,7
Egmore,1845,24900000,3,13500,unfurnished,3,3
Egmore,1660,24900000,3,15000,unfurnished,3,6
Egmore,3750,50600000,4,13500,unfurnished,4,3
Egmore,1800,22500000,3,12500,furnished,3,16
Egmore,1970,28000000,3,14213,furnished,3,5
Egmore,1515,22700000,3,15000,unfurnished,3,3
Egmore,2199,32300000,4,14699,unfurnished,4,2
Egmore,1500,15000000,5,10000,semifurnished,2,6
Egmore,1631,39200000,3,24062,unfurnished,3,5
Egmore,1975,29600000,3,15000,unfurnished,3,5
Egmore,1570,21100000,2,13500,unfurnished,3,4
Egmore,1415,21200000,3,15000,unfurnished,3,6
Egmore,2320,31300000,4,13500,unfurnished,4,3
Egmore,2555,38300000,4,15000,unfurnished,4,5
Egmore,1880,25300000,3,13500,unfurnished,3,4
Egmore,2840,42600000,4,15000,unfurnished,4,5
Egmore,1790,19000000,3,10614,semifurnished,3,16
Egmore,1594,25500000,3,16000,unfurnished,3,0
Egmore,1619,38800000,3,24019,unfurnished,3,5
Egmore,1319,21000000,3,15921,unfurnished,3,6
Egmore,1390,16600000,3,12000,semifurnished,3,10
Egmore,475,9000000,2,18947,unfurnished,2,7
Egmore,2199,30500000,4,13900,unfurnished,5,3
Egmore,2200,30500001,5,13901,unfurnished,6,4
Egmore,2700,23000000,4,8518,furnished,5,3
Egmore,1591,25400000,3,16000,unfurnished,3,1
Egmore,1337,18500000,3,13900,unfurnished,4,7
Egmore,1341,21400000,3,16000,unfurnished,3,6
Egmore,2850,42000000,3,14736,semifurnished,3,5
Egmore,2512,37600000,4,15000,unfurnished,4,6
Egmore,1587,22500000,3,14177,furnished,3,15
Egmore,1340,22000000,3,16417,unfurnished,3,0
Egmore,1640,18900000,3,11524,semifurnished,3,8
Egmore,1591,23300000,3,14700,unfurnished,2,0
Egmore,1337,19000000,3,14210,unfurnished,3,1
Egmore,800,6000000,1,7500,furnished,2,1
Egmore,2430,47000000,3,19341,semifurnished,2,4
Egmore,1050,6000000,2,5714,semifurnished,2,1
Egmore,1100,3520000,2,3200,unfurnished,2,0
Guduvancheri,1049,3200000,2,3050,unfurnished,2,1
Guduvancheri,690,2470000,2,3579,unfurnished,1,0
Guduvancheri,861,3014000,2,3500,unfurnished,2,1
Guduvancheri,1420,5200000,3,3661,unfurnished,2,3
Guduvancheri,620,2000000,1,3225,unfurnished,1,1
Guduvancheri,800,3480000,2,4350,unfurnished,1,0
Guduvancheri,1180,3850000,3,3262,unfurnished,2,10
Guduvancheri,480,1718000,1,3579,semifurnished,1,2
Guduvancheri,1790,8800000,3,4916,semifurnished,2,7
Guduvancheri,690,2821000,2,4089,unfurnished,2,2
Guduvancheri,550,1900000,2,3454,unfurnished,2,4
Guduvancheri,1420,4345000,3,3060,unfurnished,3,0
Guduvancheri,605,2300000,1,3801,unfurnished,1,0
Guduvancheri,900,4700000,2,5222,unfurnished,2,2
Guduvancheri,1110,4700000,2,4234,semifurnished,2,0
Guduvancheri,1535,5448000,3,3549,unfurnished,3,1
Guduvancheri,590,2200000,2,3728,unfurnished,2,7
Guduvancheri,1416,6400000,2,4519,unfurnished,3,1
Guduvancheri,590,2107000,2,3571,unfurnished,1,0
Guduvancheri,1219,4200000,2,3445,semifurnished,2,3
Guduvancheri,800,3480000,2,4350,unfurnished,1,5
Guduvancheri,630,3035000,2,4817,unfurnished,2,1
Guduvancheri,889,4695000,2,5281,unfurnished,2,3
Guduvancheri,717,2567000,2,3580,semifurnished,1,0
Guduvancheri,1100,3366000,2,3060,unfurnished,2,1
Guduvancheri,1564,5400000,3,3452,semifurnished,2,8
Guduvancheri,994,4550000,2,4577,unfurnished,3,0
Guduvancheri,1254,5200000,2,4146,unfurnished,3,2
Guduvancheri,901,3153000,2,3500,unfurnished,2,8
Guduvancheri,1000,4950000,2,4950,unfurnished,2,1
Guduvancheri,664,2124000,2,3199,unfurnished,2,0
Guduvancheri,478,2000000,1,4184,unfurnished,2,0
Guduvancheri,1390,4500000,3,3237,unfurnished,2,0
Guduvancheri,700,4009000,2,5857,unfurnished,2,1
Guduvancheri,901,3153000,2,3500,unfurnished,2,0
Guduvancheri,1714,7713000,3,4500,unfurnished,3,2
Guduvancheri,654,2000000,2,3058,unfurnished,2,8
Guduvancheri,973,4888000,2,5024,unfurnished,2,0
Guduvancheri,988,4960000,2,5021,unfurnished,2,0
Guduvancheri,650,3143000,1,4836,unfurnished,1,1
Guduvancheri,965,5218000,2,5407,unfurnished,2,4
Guduvancheri,177,7670000,1,4337,unfurnished,1,1
Guduvancheri,1100,4100000,2,3727,unfurnished,2,8
Guduvancheri,861,3014000,2,3500,unfurnished,2,6
Guduvancheri,1049,3200000,2,3050,unfurnished,2,3
Guduvancheri,962,2080000,2,2162,semifurnished,2,5
Guduvancheri,271,1204000,1,4443,unfurnished,1,1
Guduvancheri,1035,3300000,1,3188,unfurnished,1,0
Guduvancheri,206,8940000,1,4340,unfurnished,1,1
Guduvancheri,700,4099000,2,5857,unfurnished,2,1
Guduvancheri,1120,4500000,2,4017,unfurnished,2,7
Guduvancheri,1336,6411000,3,4799,semifurnished,2,0
Guduvancheri,550,2500000,1,4545,semifurnished,1,3
Guduvancheri,950,4815000,2,5068,unfurnished,2,0
Guduvancheri,570,2900000,2,5087,unfurnished,1,3
Guduvancheri,900,3500000,2,3888,semifurnished,3,0
Guduvancheri,690,2470000,1,3579,unfurnished,1,2
Guduvancheri,1035,4500000,2,4347,unfurnished,2,4
Guduvancheri,528,2100000,1,3977,unfurnished,1,5
Guduvancheri,1010,4598000,2,4522,unfurnished,2,1
Guduvancheri,757,3450000,2,4557,unfurnished,2,2
Guduvancheri,817,2925000,2,3580,unfurnished,2,1
Guduvancheri,625,2800000,1,4480,unfurnished,1,2
Guduvancheri,800,3064000,1,3830,unfurnished,1,0
Guduvancheri,326,1200000,1,3680,unfurnished,1,0
Guduvancheri,720,2250000,1,3125,unfurnished,1,3
Guduvancheri,600,2300000,1,3833,unfurnished,1,3
Guduvancheri,783,3836000,2,4900,unfurnished,2,1
Guduvancheri,817,6700000,2,8200,unfurnished,2,2
Guduvancheri,1125,4400000,3,3911,furnished,2,9
Guduvancheri,750,4000000,2,5333,unfurnished,2,0
Guduvancheri,961,4600000,3,4786,unfurnished,2,1
Guduvancheri,506,3200000,1,6324,unfurnished,1,1
Guduvancheri,433,2010000,1,4642,semifurnished,1,0
Guduvancheri,634,2219000,1,3500,unfurnished,1,0
Guduvancheri,500,2500000,1,5000,semifurnished,1,0
Guduvancheri,730,2500000,1,3424,semifurnished,1,2
Guduvancheri,552,1700000,1,3079,semifurnished,1,5
Guduvancheri,1338,4800000,1,3587,unfurnished,2,7
Guduvancheri,758,3000000,2,3957,semifurnished,2,4
Guduvancheri,1336,6411000,3,4799,semifurnished,2,3
Guduvancheri,1535,5448000,3,3549,unfurnished,3,1
Guduvancheri,1990,10000000,3,5025,semifurnished,3,2
Guduvancheri,1142,5500000,2,4816,semifurnished,2,6
Guduvancheri,405,2950000,1,7283,unfurnished,1,0
Guduvancheri,528,2100000,1,3977,unfurnished,1,3
Guduvancheri,1350,5500000,3,4074,unfurnished,3,1
Guduvancheri,295,1331000,1,4512,unfurnished,1,1
Guduvancheri,390,1000000,1,2564,unfurnished,1,2
Guduvancheri,302,1353000,1,4482,unfurnished,1,1
Guduvancheri,1325,4900000,3,3698,semifurnished,3,0
Guduvancheri,625,2000000,1,3200,unfurnished,1,0
Guduvancheri,994,4550000,2,4577,unfurnished,3,0
Guduvancheri,1300,5900000,3,4538,unfurnished,3,1
Guduvancheri,540,2900000,1,5371,semifurnished,1,0
Guduvancheri,350,1150000,1,3288,unfurnished,1,0
Guduvancheri,3200,15000000,5,4687,unfurnished,3,1
Guduvancheri,1734,7803000,3,4500,unfurnished,3,0
Guduvancheri,1283,5269000,4,4107,unfurnished,4,0
Guduvancheri,1618,25500000,3,15800,unfurnished,3,0
Annanagar,1662,24900000,3,15000,unfurnished,3,0
Chetpet,1250,22100000,3,17680,unfurnished,2,0
Annanagar,1662,24900000,3,15000,unfurnished,3,0
Annanagar,610,5200000,2,8524,semifurnished,1,0
Koyambedu,1320,19800000,3,15000,unfurnished,3,2
Annanagar,1133,8500000,2,7502,semifurnished,2,1
Annanagar,2300,36800000,3,16000,unfurnished,3,0
Annanagar,1620,25000000,3,15462,furnished,3,2
Annanagar,3030,55000000,5,18151,semifurnished,5,6
Annanagar,1579,21900000,3,13869,unfurnished,3,4
Annanagar,1515,18900000,3,12499,unfurnished,3,2
Annanagar,1748,22300000,3,12767,unfurnished,2,0
Annanagar,1820,10400000,4,5750,unfurnished,3,2
Annanagar,1492,18600000,3,12499,unfurnished,3,2
Annanagar,3053,48800000,3,15990,unfurnished,3,0
Annanagar,1408,16500000,3,11718,furnished,3,1
Annanagar,1520,27500000,3,18092,unfurnished,3,0
Annanagar,3795,48900000,4,12900,unfurnished,4,0
Annanagar,1423,18300000,3,12913,unfurnished,2,3
